"operational_day","estimated_avoidable_deaths","SWASFT_(SWASFT) Number of HCP Incidents","SevernSide_(Severnside) Calls Answered","BRI_Number of Admissions","NBT_Number of Admissions","WGH_Number of Admissions","Sirona - Bristol_DtA P1 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit, and in any setting (acute and non-acute)","Sirona - NS_DtA P1 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit, and in any setting (acute and non-acute)","Sirona - SG_DtA P1 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit, and in any setting (acute and non-acute)","Sirona - NS_DtA P2 TOTAL BOOKED AND UN-BOOKED Waiting for capacity, medically fit and ready to leave ACUTE","Sirona - SG_DtA P2 TOTAL BOOKED AND UN-BOOKED Waiting for capacity, medically fit and ready to leave ACUTE","Sirona - Bristol_DtA P3 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit and in any setting (acute and transitional bed)","Sirona - NS_DtA P3 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit and in any setting (acute and transitional bed)","Sirona - SG_DtA P3 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit and in any setting (acute and transitional bed)","BRI_G&A Bed occupancy","NBT_G&A Bed occupancy","WGH_G&A Bed occupancy","North Bristol NHS Trust_Ambulance Queue","Bristol Royal Infirmary_Cohorting & Reverse Queue","North Bristol NHS Trust_Cohorting & Reverse Queue","Bristol Royal Hospital for Children_Total Breaches Since Midnight","Bristol Royal Infirmary_Total Breaches Since Midnight","North Bristol NHS Trust_Total Breaches Since Midnight","Weston_Total Breaches Since Midnight","Bristol Royal Infirmary_Ambulance Queue","Weston_Cohorting & Reverse Queue","Bristol Royal Hospital for Children_Ambulance Handovers 60mins (Since Midnight)","Bristol Royal Infirmary_Ambulance Handovers 60mins (Since Midnight)","Weston_Ambulance Handovers 60mins (Since Midnight)","Bristol Royal Hospital for Children_Handover to Clear 60mins (Since Midnight)","Bristol Royal Infirmary_Handover to Clear 60mins (Since Midnight)","Weston_Handover to Clear 60mins (Since Midnight)","NHS Bristol, North Somerset, South Gloucestershire Integrated Care Board_OPEL","North Bristol NHS Trust_Ambulance Handovers 60mins (Since Midnight)","NHS Bristol, North Somerset, South Gloucestershire Integrated Care Board_Category 1 - BNSSG Mean Response (Since Midnight)","NHS Bristol, North Somerset, South Gloucestershire Integrated Care Board_Category 2 - BNSSG Mean Response (Since Midnight)","NHS Bristol, North Somerset, South Gloucestershire Integrated Care Board_Category 3 - BNSSG Mean Response (Since Midnight)","North Bristol NHS Trust_Handover to Clear 60mins (Since Midnight)","BNSSG Adult Health Community Services_OPEL","Bristol Royal Infirmary_OPEL","North Bristol NHS Trust_OPEL","SevernSide Integrated Urgent Care System_OPEL","Weston_OPEL","NHS Bristol, North Somerset, South Gloucestershire Integrated Care Board_Category 4 - BNSSG Mean Response (Since Midnight)","SevernSide Integrated Urgent Care System_Number of Cases on IUC CAS Queue","Sirona - Total_NBT NCtR >= 65 years old","Sirona - Total_NBT NCtR Beddays","Sirona - Total_NBT NCtR Patients","Sirona - Total_NBT P1 NCtR Patients","Sirona - Total_NBT P2 NCtR Patients","Sirona - Total_NBT P3 NCtR Patients","Bristol Royal Infirmary_% of patients spending >12 hours in ED","Weston_% of patients spending >12 hours in ED","Bristol Royal Infirmary_Aggregated NHSE OPEL Score","Weston_Aggregated NHSE OPEL Score","Bristol Royal Infirmary_Automated OPEL","Weston_Automated OPEL","Bristol Royal Infirmary_Majors and resuscitation occupancy (adult)","Weston_Majors and resuscitation occupancy (adult)","ICU_admissions"
2023-04-01,0.69239135964268,22,1214,121,102,70,56,7,26,27,22,42,6,8,652,897,282,0.989583333333333,6.66304347826087,0.635416666666667,3.55223880597015,15.9722222222222,25.4895833333333,14.7567567567568,2.77777777777778,3.1864406779661,0,3.5,4.94791666666667,0,0.447916666666666,0,4,4.45833333333333,483.896551724138,2016.60638297872,6213.78205128205,0,3.92307692307692,3,2.92307692307692,2,4,4169.95918367347,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-04-02,0.84526981797864,25,1039,114,90,39,46,5,22,19,18,45,6,8,662,916,282,0.916666666666667,3.45161290322581,0.395833333333333,7.9264705882353,27.6142857142857,17.9583333333333,6.30232558139535,1,3.11764705882353,0,2.6875,0.0625,0,0.21875,0,4,1.08333333333333,580.357894736842,1925.1875,6899.6049382716,0,3.84615384615385,3,2.84615384615385,2,4,7893.39130434782,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-04-03,1.03233486409051,42,733,225,178,37,39,0,17,22,24,46,6,8,663,884,282,1.11578947368421,4.28260869565217,0.0736842105263159,13.4222222222222,24.0322580645161,14.9473684210526,7.18421052631579,0,4.69230769230769,0.291666666666667,0.34375,0.90625,0,0.833333333333333,0.21875,4,0.927083333333333,591.851063829787,1852.35416666667,4079.1847826087,0.21875,3.76923076923077,3,2.76923076923077,2,4,10615.1136363636,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-04-04,0.809122910841457,37,626,185,186,66,69,0,20,21,21,54,8,9,677,917,282,2.58139534883721,6.60975609756098,1.37209302325581,4.36585365853658,45.6585365853659,39.8837209302325,15.9512195121951,2.73170731707317,5.5609756097561,0,3.09302325581395,5.79069767441861,0,0.813953488372093,0,3.9,2.95348837209302,477.860465116279,1504.93023255814,4769.3488372093,0,3.69230769230769,2.9,2.69230769230769,2,4,6287,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-05,0.547649234871265,42,689,206,214,65,68,0,22,15,21,49,6,10,662,912,282,2.39729901028716,6.06978319783198,1.22173467895276,3.99186991869919,41.845902252126,36.0727414558042,15.8722265932337,2.42818428184282,5.26531165311653,0,2.74935400516796,5.14728682170543,0,0.723514211886305,0,3.8,2.62532299741602,510.969986086265,1464.45294176108,4510.88078459009,0,3.61538461538462,2.8,2.61538461538462,2,3.88888888888889,5973.86666666667,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-06,0.53081734274496,55,632,204,206,54,69,2,22,16,19,49,8,8,631,879,274,2.21320267173712,5.52981029810298,1.0713763346497,3.61788617886179,38.0332679188861,32.2617619813758,15.7932336742722,2.12466124661247,4.96964769647696,0,2.40568475452196,4.50387596899225,0,0.633074935400517,0,3.7,2.29715762273902,544.079507056251,1423.97565096402,4252.41273197087,0,3.53846153846154,2.7,2.53846153846154,2,3.77777777777778,5660.73333333333,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-07,0.552933675024441,28,985,153,120,72,69,2,30,22,18,53,9,8,609,884,271,2.02910633318707,4.98983739837398,0.921017990346643,3.24390243902439,34.2206335856462,28.4507825069475,15.7142407553108,1.82113821138211,4.6739837398374,0,2.06201550387597,3.86046511627907,0,0.542635658914729,0,3.6,1.96899224806202,577.189028026237,1383.49836016696,3993.94467935166,0,3.46153846153846,2.6,2.46153846153846,2,3.66666666666667,5347.6,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-08,0.328331147996444,24,1096,120,106,47,73,8,38,23,17,57,11,9,605,878,271,1.84500999463702,4.44986449864499,0.770659646043586,2.86991869918699,30.4079992524063,24.6398030325191,15.6352478363493,1.51761517615176,4.37831978319783,0,1.71834625322997,3.21705426356589,0,0.452196382428941,0,3.5,1.64082687338501,610.298548996223,1343.02106936991,3735.47662673244,0,3.38461538461538,2.5,2.38461538461538,2,3.55555555555556,5034.46666666667,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-09,0.545610249647764,23,962,130,100,32,37,3,37,21,17,48,22,9,613,877,279,1.66091365608698,3.90989159891599,0.620301301740529,2.49593495934959,26.5953649191664,20.8288235580908,15.5562549173879,1.21409214092141,4.08265582655827,0,1.37467700258398,2.57364341085271,0,0.361757105943152,0,3.4,1.31266149870801,643.40806996621,1302.54377857285,3477.00857411323,0,3.30769230769231,2.4,2.30769230769231,2,3.44444444444444,4721.33333333333,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-10,0.479794185279629,19,1103,162,94,26,38,1,35,20,18,48,9,8,612,868,276,1.47681731753693,3.36991869918699,0.469942957437472,2.1219512195122,22.7827305859266,17.0178440836624,15.4772619984264,0.910569105691057,3.7869918699187,0,1.03100775193798,1.93023255813954,0,0.271317829457364,0,3.3,0.984496124031008,676.517590936196,1262.06648777579,3218.54052149401,0,3.23076923076923,2.3,2.23076923076923,2,3.33333333333333,4408.2,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-11,0.640177947359158,60,865,167,192,36,61,0,28,21,18,56,9,9,614,883,275,1.29272097898689,2.82994579945799,0.319584613134416,1.7479674796748,18.9700962526867,13.2068646092341,15.398269079465,0.607046070460704,3.49132791327913,0,0.68733850129199,1.28682170542636,0,0.180878552971576,0,3.2,0.656330749354005,709.627111906182,1221.58919697873,2960.07246887479,0,3.15384615384615,2.2,2.15384615384615,2,3.22222222222222,4095.06666666667,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-12,0.656348751898043,32,704,153,158,47,49,0,30,19,18,47,8,8,609,885,274,1.10862464043684,2.289972899729,0.169226268831359,1.3739837398374,15.1574619194468,9.39588513480571,15.3192761605035,0.303523035230352,3.19566395663957,0,0.343669250645995,0.643410852713179,0,0.0904392764857882,0,3.1,0.328165374677003,742.736632876168,1181.11190618167,2701.60441625558,0,3.07692307692308,2.1,2.07692307692308,2,3.11111111111111,3781.93333333333,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-13,0.651534664821698,38,694,182,142,56,54,0,26,17,24,44,8,10,588,862,275,0.924528301886792,1.75,0.0188679245283019,1,11.3448275862069,5.58490566037736,15.2402832415421,0,2.9,0,0,0,0,0,0,3,0,775.846153846154,1140.63461538462,2443.13636363636,0,3,2,2,2,3,3468.8,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-14,0.34947433600954,43,652,167,139,64,75,1,28,17,13,56,6,10,566,850,276,0.34375,1.57627118644068,0.0520833333333333,3.33333333333333,25.4754098360656,10.84375,15.1612903225806,0,2.48648648648649,0.416666666666667,0.0416666666666667,0.416666666666667,0,0,0,3,0.239583333333333,476.578947368421,1232.5,4479.76,0,3,2,2,2,3,2155.85245901639,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-15,0.429397848659704,20,1096,133,98,48,53,1,25,16,20,51,7,6,601,869,276,0.831578947368421,1.78813559322034,0.642105263157895,3.28571428571429,10.0277777777778,14.9894736842105,12.5405405405405,0,3.32352941176471,0,0.114583333333333,0.65625,0,0,0,3,0.34375,477.351063829787,1385.25531914894,4931.13043478261,0,3,2,2,2,2,3217.95348837209,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-16,0.748467100005529,30,1023,125,96,22,52,0,36,16,22,50,6,6,615,873,276,1.67708333333333,2,0.177083333333333,3.23809523809524,7.31884057971015,24.3125,11.325,0,4.30985915492958,0,0.0104166666666667,0.21875,0,0,0,3,1.0625,554.378947368421,2310.92631578947,4356.49450549451,0,3,3,3,2,3,784,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-17,0.921744071794096,40,728,250,196,38,50,0,26,14,15,51,6,6,676,883,273,0.6875,4.72619047619048,0.135416666666667,4.32758620689655,25.9142857142857,24.8854166666667,9.75,0.0777777777777778,5.93333333333333,0,1.07291666666667,3.5625,0,0,0,3,1.38541666666667,456.210526315789,1476.31914893617,3105.06315789474,0,3,3,2,2,4,1269,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-18,0.671445736770074,28,700,205,214,68,46,0,25,14,16,47,8,4,659,875,293,1.08421052631579,4.56179775280899,0.421052631578947,7.11111111111111,19.9411764705882,20.1157894736842,18.825,1.48314606741573,5.71698113207547,0,5.54736842105263,7.8,0,0.473684210526316,0,3,0.631578947368421,432.097826086957,1804.44565217391,3474.32954545455,0,3,2,2,2,4,3480.86666666667,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-04-19,0.716018995141053,46,698,199,224,60,42,1,28,16,15,47,6,7,657,883,293,2.09473684210526,2.57352941176471,1.2,9.72549019607843,13.2328767123288,31.1052631578947,15.8947368421053,0.397849462365591,4.94623655913979,0,3.64210526315789,1.63157894736842,0,0,0,3,1.33684210526316,499.858695652174,1650.31914893617,3668.10344827586,0.431578947368421,3,2,3,2,4,3435.61904761905,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-04-20,0.573340057627718,41,567,193,198,62,41,3,30,16,11,49,7,8,658,872,282,0.695652173913044,2.8735632183908,0.217391304347826,3.03125,19.7887323943662,22.6521739130435,10.7428571428571,0.322222222222222,5.484375,0,1.76041666666667,2.82291666666667,0,0,0,3,1.94791666666667,473.63440860215,1404.07368421053,3547.30107526882,0.895833333333333,3,2,3,4,4,2376,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-04-21,0.661905125770169,40,611,205,168,68,66,7,28,21,11,48,4,7,638,854,282,0.260416666666667,4.75824175824176,0,4.95121951219512,19.8360655737705,17.8541666666667,21.6585365853659,0.868131868131868,5.93877551020408,0,3.73958333333333,3.625,0,0,0,3,1.61458333333333,419.336842105263,1709.95698924731,5728.73170731707,0.96875,3,2,3,3.5,4,316,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-04-22,0.338543616572764,15,1026,113,95,66,54,2,33,24,12,52,6,4,637,857,282,0.642105263157895,1.93103448275862,0,3.70175438596491,13.3378378378378,12.9052631578947,15.7435897435897,0,3.55263157894737,0.125,2.6875,0.760416666666667,0,0.125,0,3,0.666666666666667,424.404255319149,1188.69473684211,3345.69565217391,0.8125,3,2,2,3,3,316,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-04-23,0.430720560318978,36,904,139,102,38,50,2,33,27,12,50,6,4,633,885,282,0.638297872340426,3.65168539325843,0.127659574468085,1.82051282051282,16.6923076923077,12.9574468085106,8.44444444444445,0.168539325842697,2.16666666666667,0.739583333333333,2.88541666666667,0.270833333333333,0,0,0,3,1.47916666666667,451.666666666667,1003.08421052632,1868.21739130435,0,3,3,2,4,4,1003,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-04-24,0.846540323545663,31,690,236,187,22,50,1,26,24,10,50,15,4,665,892,282,1.09375,4.31868131868132,0.09375,4.24,36.1833333333333,15.0104166666667,6.20588235294118,1.95604395604396,3.67924528301887,0.479166666666666,9.29166666666667,0.447916666666666,0,0.885416666666667,0,3,1.34375,506.63829787234,1711.09473684211,2849.63829787234,0,3,3,3,3,4,1740.25,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-04-25,0.732069684832954,42,656.5,206,195,60,57,0,31,22,10,48,10,4,666,895,282,1.72916666666667,5.80681818181818,0.114583333333333,7.22727272727273,30.7460317460317,45.0520833333333,10.2,2.625,4.74137931034483,0.135416666666667,13.28125,1.22916666666667,0,0.677083333333333,0,3,0.1875,449.6875,1429.15053763441,3290.6170212766,0,3,3,3,3.33333333333333,4,1461.5,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-26,0.539596365924384,39,623,187,191,66,55,0,34,21,13,52,7,6,651,890,282,0.780487804878049,3.17391304347826,0.109756097560976,9.21311475409836,12.5230769230769,21.9268292682927,10.0294117647059,0.076086956521739,2.64814814814815,0.104166666666667,5.4375,0.802083333333333,0,0.447916666666666,0,3,0.541666666666667,433.670588235294,1062.65957446809,2580.65934065934,0,3,2,3,3.66666666666667,3,1182.75,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-27,0.729298997592462,42,587,204,191,49,62,1,29,24,13,54,8,6,648,879,281,1,3.23863636363636,0.408602150537634,7.95,14.3380281690141,24.0215053763441,14.6923076923077,0,3.15254237288136,0,0.822916666666666,0.520833333333334,0.177083333333333,0,0.03125,3,1.05208333333333,396.956043956044,1499.52688172043,5490.56976744186,0,3,2,2,4,4,904,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-04-28,0.609220709700663,54,663,194,184,61,62,1,25,24,14,51,11,5,627,865,276,0.771739130434782,2.65432098765432,0.0869565217391305,9.32203389830508,24.4477611940299,27.1086956521739,11.2571428571429,0.156626506024096,3.69642857142857,0,2.38541666666667,2.14583333333333,0.447916666666666,0,0,3,0.5625,445.263157894737,1396.26041666667,4895.20481927711,0,4,3,2,3,4,904,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
